ｃ,名前,,立ち絵,,SE,BGM,
12,先生,「……」,,,,,
13,暮六,「……先生、質問いいですか？」,立ち絵16,,,,
13,先生,「なんだ？」,,,,,
14,暮六,「な……何ページ目の問３でしょうか？」,立ち絵15,,,,
15,先生,「バカモノーッ！！！！！」,なし,背景７,,,
15,暮六,「ご、ごめんなさーいっ！」,,,,,
16,星見心の声,教師に頭を抱えさせるクラスメイト、暮六ひつじ。,,一枚絵２,,,
16,星見心の声,彼女は私とは対象的に、この学校きっての劣等生だ。,,,,,
17,星見心の声,暮六さんはとにかくよく寝る。,,,,,
17,星見心の声,授業の何割起きているのかというくらい寝て寝て寝まくる。,,,,,
18,暮六,「お、起きてなきゃ……起きてなきゃ……」,,,,,
18,星見心の声,どこにでもいる落ちこぼれ。,,,,,
18,星見心の声,『華麗なる私の人生に一瞬だけ現れた<r=モブ>どうでもいい端役</r>』,,,,,
18,星見心の声,それが私から彼女への評価のすべてだった。,,,,,
19,星見心の声,すべて、だったのだ。,,,,,
20,―,FADEOUT,なし,,,,SLOW
23,―,WAIT,,,,,0.5
21,―,FADEIN,,背景６,,,0
23,―,WAIT,,,nc125315_【SE】ページめくり音_2【効果音】,stop,1
24,星見,「うーん……なんか、集中できないわね……」,,,,,
25,星見,「……」,,,,,
26,星見,「……落ちこぼれ、か」,,,,,
27,星見心の声,暮六さんは劣等生だ。そこは疑いようもない。,,一枚絵２,,,
27,星見心の声,クラスでの評価も教師の評価も、何より、私の評価がそうなのだから動かしようがない。,,,,,
28,星見心の声,ただ、私があそこまで劣等生になったとして――,,背景６,,,
28,星見,「――私が暮六さんだったら、学校になんて通えるかしら？」,,,,,
29,星見心の声,クラスの誰からもバカにされて、なお通うというのは、とてもつらいことだと思うのだ。,,,,,
29,星見心の声,だったら、起きていられるよう夜に眠るなり医者に薬を処方してもらうなりすれば良いのだが……。,,,,,
30,星見,「はぁ……」,,,,,
31,星見,「……気分転換しましょうか」,,,,,
32,―,FADEOUT,なし,,,,SLOW
2,―,WAIT,,,,,0.5
33,―,FADEIN,,背景３,,,0
34,星見,「へぇ……思ったよりいい景色じゃない」,,一枚絵３,,,
35,星見心の声,マンションの屋上から見上げる夜空は幻想的だった。,,,,,
35,星見心の声,<r=またた>瞬</r>く星に、天上で輝く大きな大きな月。,,,,,
35,星見心の声,雲は空を映し出すスクリーンのように広がっていた。,,,,,
36,星見心の声,コートの隙間から出た顔を、ひんやりと撫でる風が心地よい。,,,,,
36,星見心の声,街の喧騒から遠く、人の声もテレビの音も夜の<r=しじま>静寂</r>に飲まれている。,,,,,
36,星見心の声,このまま、何時間でも空を見上げてぼんやりとしていたいと思えた。,,,,,
37,―,WAIT,,,ドアを開ける,,1
38,星見心の声,不意に、背にしたドアが開く音がした。,,,,,
38,星見心の声,せっかくいい気分だったというのに、無粋な<Link="※無断で入り込んだ者のこと。"><color=#007BFF><r=ちんにゅうしゃ>闖入者</r></color></Link>もあったものだ。,,,,,
38,星見心の声,いや、屋上も夜空も私だけのものではないのだが。それでもね。,,,,,
39,星見,「えっ？」,,背景３,,,
40,暮六,「星見さん……？」,立ち絵12,,,カフェオレオレオ,
40,星見,「く、暮六さん？」,,,,,
41,暮六,「星見さん、どうしてこんなところに？」,立ち絵１,,,,
41,星見,「いや、それはこっちのセリフなんだけど……」,,,,,
42,暮六,「はっ！　もしや、星見さんはこのマンションに盗みに入りに……！」,立ち絵12,,,,
42,星見,「んなわけあるか！　私はここの住人よ！」,,,,,
43,暮六,「しーっ！　星見さん、声が大きいです。まだあたし以外誰も見ていません。今のうちに、逃げてください」,立ち絵19,,,,
43,星見,「いや、なんで、私が下手な嘘を吐いたみたいになってんのよ？本当よ。本当に、私はここの住人なの」,,,,,
44,暮六,「仮に、星見さんが本当にここの住人だったとして」,,,,,
44,星見,「本当なのよ」,,,,,
44,暮六,「それでも、こんな時間に屋上に来るのは変だと思いませんか？」,,,,,
44,星見,「その言葉、そっくりそのまま返していいかしら？」,,,,,
45,暮六,「あたしはいいんです。夜の方が過ごしやすいですから」,立ち絵１,,,,
45,星見,「口ぶりからして暮六さんもここの住人なんだろうけど、ダメよ？　そうやって、夜更かししてるから授業中に起きてられないのよ」,,,,,
45,暮六,「うっ、それを言われるとつらいです」,,,,,
46,星見,「はいはい。わかったら、帰って寝なさい。部屋まで戻れる？　トイレに行ける？」,立ち絵19,,,,
46,暮六,「子供じゃないんですから、それくらいできますよ！」,,,,,
46,星見,「だったら、さっさと帰んなさい」,,,,,
46,暮六,「ああー、待って待って、押さないで、押さないでください」,,,,,
47,暮六,「わかりました！　事情を話します！　事情を話しますから！」,立ち絵22,,,,
47,星見,「事情ぅ？　夜更かしに、んなもんあるの？」,,,,,
47,暮六,「あるの！　あるんです！」,,,,,
47,星見,「じゃ、言ってご覧なさいよ」,,,,,
48,暮六,「何を隠そう、このあたし、夜さっぱり眠れない病の患者なのです！！！！！」,立ち絵４,,,,
48,星見,「帰って寝ろ」,,,,,
48,暮六,「ああー！　待って待って！　本当です、本当なんですっ！」,,,,,
48,星見,「うるっせぇ！　そんな、けったいな名前の病気があるかァ！」,,,,,
49,暮六,「ノスフェラトゥ病と呼ばれる罹患者がほとんどいない病気です。これ、大学病院のお医者さんの診断書です」,立ち絵17,,,,
49,星見,「え、嘘……なんで、診断書なんて持ち歩いてんのよ？」,,,,,
49,暮六,「表を出歩くと、たまに星見さんみたいな事情を知らない善意の第三者にぶつかるからです」,,,,,
49,星見,「うっ、ちょっと納得できる理由」,,,,,
50,暮六,「大真面目な話ですよ。今、スマホで調べてもらっても構いません。日本での症例として、あたしの年齢とイニシャルが確認できるはずですから」,立ち絵19,,,stop,
50,星見,「うわ、本当にあるし！？」,,,,,
51,暮六,「ふふん、星見さんもようやくわかってくれましたか」,立ち絵１,,,,
51,星見,「ああうん……さすがに、年齢イニシャル他の特徴が合致していて疑うつもりはない。悪かったわ」,,,,,
52,星見,「じゃあ、私はそろそろ帰るけど、暮六さんも暇つぶしはほどほどにしておきなよ？」,立ち絵17,,,,
52,暮六,「ええ、そうしておきます」,,,,,
53,星見,「しかし、ノスフェラトゥ病ねぇ……ちょっと、格好良いわね」,立ち絵３,,,,
54,暮六,「星見さんっ！　わかってくれますか、この格好良さ！」,なし,一枚絵４,,カフェオレオレオ,
54,星見,「うわ、びっくりしたぁっ！？」,,,,,
55,暮六,「そうですよ！　ノスフェラトゥですよ、ノスフェラトゥ！　吸血鬼な名前ですよ！　これもう、名付けたえらいお医者さんもきっと格好良いと思ってほくそ笑んだに違いないですよ！」,,,,,
55,星見,「い、いや、私は別にそこまで」,,,,,
55,暮六,「星見さん」,,,,,
55,星見,「な、何よ？」,,,,,
55,暮六,「このノスフェラトゥ病は――」,,,,,
56,暮六,「――かかると、いい具合に髪の色素が抜けていって、きれいな銀髪になるんですよ！」,,,,,
56,星見,「なにそれ、すっげぇかっけぇ！！！！！」,,,,,
57,暮六,「ふっふっふ……やはり、星見さんもこの格好良さがわかる逸材でしたか……！」,,,,,
57,星見,「――あっ」,,,,,効果音とか画面効果
58,星見,「い、いや、私は別にそういうのは――」,,,,,
58,暮六,「他にもノスフェラトゥと呼ばれるにふさわしい理由がたくさんあるのですが……気になりませんか？」,,,,,
58,星見,「ううっ！」,,,,,
59,星見,「ううぅ……っ！」,,,,,
60,星見,「……認めるので、聞かせてください」,,,,,
60,暮六,「喜んで！」,,,,,
61,星見心の声,こうして、天才のような私は、<r=きんせんにふれる>厨二病的</r>な病人、暮六さんと友人になってしまったのである。,,,,,
62,―,FADEOUT,なし,カット,,stop,SLOW
63,―,WAIT,,,,,1
63,―,FADEIN,,背景３,,,0
64,暮六,「枕投げしましょう！」,立ち絵４,,,,
64,星見,「よし、帰って寝る」,,,,,
64,暮六,「あれぇ！？　反応悪くないですか！？」,,,,,
65,星見,「いや、むしろ、なんで良い反応が返ってくると思ったのよ？夜中に屋上で枕投げとか意味分かんないわよ」,立ち絵22,,,,
65,暮六,「そこはホラ、夜に友達とする遊びということで」,,,,,
65,星見,「枕投げは屋内競技よ」,,,,,
65,暮六,「なんと」,,,,,
66,暮六,「そうなると、あとは恋バナとか？」,立ち絵１,,,,
66,星見,「……」,,,,,
66,星見,「ひつじ、語れることあるの？」,,,,,
66,暮六,「ないです」,,,,,
66,星見,「ダメじゃん」,,,,,
67,暮六,「あたしは恋人とか要らないからいいんですぅー！　決して、負け惜しみじゃないからいいんですぅー！」,立ち絵５,,,,
67,星見,「そうね。負け惜しみじゃないなら別に問題ないわね。何も問題ないわ。ええ」,,,,,
67,暮六,「くぁあああ！　慈愛のこもってない挑発的な目があたしを襲うぅううう！」,,,,,
67,星見,「挑発っていうか、バカにしてんのよ」,,,,,
67,暮六,「ァァァァァ！　ヌッコロス！」,,,,,
67,星見,「日本語しゃべんなさいよ」,,,,,
68,暮六,「ていうか！　星見さんはどーなんですかっ！　彼氏がいるなんて聞いたことないですよっ！」,立ち絵19,,,,
68,星見,「そりゃまあ、彼氏なんて要らないからいないし」,,,,,
69,暮六,「なーんだ、やっぱり仲間じゃないですかー」,立ち絵23,,,,
69,星見,「そうね。普通、ガリ勉はモテないっていうし」,,,,,
69,暮六,「ですよね！　ですよねっ！」,,,,,
69,星見,「まあ、全国模試３桁番くらいのガチで東大行くレベルになると、確実に将来性があるからモテるんだけど」,,,,,
69,暮六,「ァァァァァ！」,,,,,
69,星見,「だから、日本語しゃべんなさいって」,,,,,
70,星見,「てか、ひつじは彼氏なんか欲しいの？」,立ち絵18,,,,
70,暮六,「あ、それは本当に要らないです。でも、それはそれとしてモテたい」,,,,,
70,星見,「なんだ、この女」,,,,,
70,暮六,「世の中はもっとあたしをチヤホヤすべき」,,,,,
70,星見,「なんだ、この女」,,,,,
71,星見心の声,この女、もとい、ひつじとマンションの屋上で出会ってから１週間が過ぎた。,,,,HIRAHIRA,
72,星見心の声,それでわかったことだが、ひつじはおバカである。,立ち絵１,背景１,,,
73,星見心の声,夜中なら、本当に、いつ来ても居る。,,,,,
73,星見心の声,そして、だいたい余計なものをなんか持ってる。,,,,,
73,暮六,「あ、星見さん！　これ、わんちゃん用のブラシなんですけど、わんちゃんが気持ち良さそうにしてたんで借りてきたんですよ！」,,,,,
73,星見心の声,翌朝、きれいな黒髪に犬の毛が混ざったまま登校してた。,,,,,
74,星見心の声,あるいは、私との話題作りにあえて突拍子もないものを持ってきているのかもしれない。,立ち絵17,背景３,,,
74,星見心の声,でも、刃物は叱った。,立ち絵17,背景３,,,
74,星見心の声,ビビるわ。,立ち絵17,背景３,,,
74,暮六,「同級生に叱られたの初めて」,,,,,
74,星見心の声,こっちだって同級生叱ったの初めてだよ。,,,,,
75,星見心の声,あと、私が部屋に戻ろうとすると必ず引き留める。,立ち絵11,,,,
75,暮六,「これ、聞いた話なんだけど、あまり寝過ぎると、人間ってバカになるんだよ？　だから、もうちょっと、ね？ね？」,,,,,
75,星見心の声,私は日中も勉強するんだから寝かせろ。,,,,,
76,星見心の声,そんな感じで、何かと手はかかるが、深夜の勉強の気分転換には良い存在。それが、私からのひつじの評価だ。,,,,,
77,暮六,「それじゃ、星見さん、おやすみ。また明日ね！」,立ち絵20,,,,
77,星見,「……私が気分転換しないかもしれないとは思わないわけ？」,,,,,
77,暮六,「え？　なんで？」,,,,,
77,星見,「なんでって……」,,,,,
78,暮六,「だって、あたしたち友達でしょ？　だから、遊びに来てくれてるんだもの。疑う余地なんてないわ」,,,,,
79,星見心の声,あー……。,,,,,
80,星見心の声,おバカという評価は訂正しようと思う。,立ち絵１,,,,
80,星見,「……ひつじ、あんたさ」,,,,,
80,暮六,「え？　何々？」,,,,,
80,星見心の声,彼女は――,,,,,
81,星見,「実は長いことボッチだった？」,,背景５,,,
81,暮六,「なんで、急にディスったの！？」,立ち絵11,,,,
81,星見心の声,――愛すべきおバカである。,,,,,
62,―,FADEOUT,なし,カット,,stop,SLOW
63,―,WAIT,,,,,1
63,―,FADEIN,,背景３,,,0
85,暮六,「勉強教えてください」,立ち絵15（パジャマ）,,,,
85,星見,「さーて、気分転換おしまい。部屋に帰ろうかー」,,,,,
85,暮六,「待って待って待って」,,,,,
86,暮六,「割とマジでシャレにならないので助けてください」,なし,一枚絵５,,,
86,星見,「シャレにならないって何があったのよ？」,,,,,
86,暮六,「それは聞くも涙、語るも涙な大河５本分くらいのドラマがございまして」,,,,,
86,星見,「帰る」,,,,,
86,暮六,「待って待って待って」,,,,,
87,星見,「で、何があったってわけ？」,,,,,
87,暮六,「実は、今日の午後、担任に呼び出されまして」,,,,,
87,星見,「ほう」,,,,,
88,先生,『暮六、授業寝すぎだ。このままだと進級させられないぞ？』,立ち絵12,背景８,木琴コロコロ,,
88,暮六,『にゃんと』,,,,,
89,先生,『寝てるのも良くはないんだが、それに目を瞑ったとしても、成績が悪すぎる』,立ち絵２,,,,
89,暮六,『そんなに悪いんですか？』,,,,,
89,先生,『暮六の中間テスト、５教科で５０点だったぞ』,,,,,
89,暮六,『悪いですけど、半分取れてたなら……』,,,,,
89,先生,『５教科合計で５０点だ』,,,,,
89,暮六,『やべぇ』,,,,,
90,先生,『とにかく、期末テストはせめてそのくらい取れ！　取ってくれ！じゃないと、一緒に吊るし上げられるんだよ！　こっちも！』,,,,,
91,暮六,「――という<Link="※受け入れられなければ平和的な外交交渉を打ち切る最後の要求のこと。ここでは冗談めかして語っている。"><color=#007BFF>最後通牒</color></Link>があったのですが、何とか値切って平均４０点で手を打たせました」,なし,一枚絵５,木琴コロコロ,,
91,星見,「値切んなや」,,,,,
92,暮六,「なので、簡単に４０点取るコツ教えてくーださい」,,,,,
92,星見,「あるかい！　そんな都合のいいもの」,,,,,
93,暮六,「……と、思わせておいて？」,,,,,
93,星見,「ない」,,,,,
93,暮六,「と、みせかけて？」,,,,,
93,星見,「ないものはない」,,,,,
94,暮六,「でもでも、星見さんは全国模試で名前が出る大天才じゃないですか。テストの点の取り方を熟知してるでしょう？　それなら！」,,,,,
94,星見,「……まあ、確実に点を取る方法はあるわよ」,,,,,
94,暮六,「おおっ！　教えてください教えてください！」,,,,,
95,星見,「教科書丸暗記しろ」,,,,,
96,暮六,「ほーしーみーさーんー。ふざけないでくださいよう」,,,,,
96,星見,「ふざけてるのはどっちよ？」,,,,,
96,暮六,「えっ？」,,,,,
97,星見,「学校では見せないけれど……私がどれだけ勉強してるか、ひつじは知ってるでしょ？　それを都合の良いコツ１個聞いて済ませようって、気分の良い話だと本当に思う？」,,一枚絵６,,,
97,暮六,「あっ！」,,,,,
98,暮六,「……ごめんなさい。軽率でした」,,,,,
98,星見,「ん。じゃ、勉強しようか」,,,,,
98,暮六,「ぅえっ！？」,,,,,
99,暮六,「手伝ってくれるの？」,,,,,
99,星見,「ま、友達ってそういうものらしいじゃん？　私はよく知らないけどさ」,,,,,
100,星見,「ほら、早くノートと教科書持ってきなさい」,,,,,
100,暮六,「す、すぐ戻るね！」,,,,,
62,―,FADEOUT,なし,カット,,,SLOW
63,―,WAIT,,,,,1
63,―,FADEIN,,背景３,,,0
104,星見,「問２．limitを使って微分された佐藤くんと山田さんの気持ちを秋田名物に例えなさい」,,一枚絵７（２）,,カフェオレオレオ,
104,暮六,「え、えーとえーと……」,,,,,
105,暮六,「あー、夜だから眠くなってきちゃったー」,,一枚絵７（３）,,,
105,星見,「あんたは夜、眠くなりゃしないでしょ」,,,,,
105,暮六,「いやでも、数学は……数学かこれ？　数学は苦手で」,,,,,
105,星見,「得意な科目あったら５教科合計が５０点になんてならないのよ」,,,,,
105,暮六,「事実陳列罪で逮捕するぞー」,,,,,
105,星見,「いいから解け」,,,,,
105,暮六,「ｳﾜｧﾝ」,,,,,
106,星見心の声,教えを<r=こ>請</r>われて１週間。真夜中の月の下での勉強会はまだ続いていた。,,,,,
107,星見心の声,ひつじはひとつ迷うたびに雑談を挟むのだが、存外、筋は悪くなかった。,,,,,
107,星見心の声,応用こそボロボロだが、基礎の基礎――中学生までの内容であれば、だいたいのことを理解していたのだ。,,,,,
108,星見心の声,不思議に思ったので、直接聞いてみた。,,一枚絵７（２）,,,
108,星見,「ひつじの<r=ビョウキ>バカ</r>って中学の頃はマシだったの？」,,,,,
109,星見心の声,で、返ってきた答えは、,,一枚絵７（１）,,,
109,暮六,「そうですね。中学の頃はまだ発症していなかったので、普通に日中も勉強できたんです」,,,,,
109,星見心の声,おバカキャラかと思いきや、当時は学年上位だったという。驚きだ。,,,,,
110,星見心の声,盛者必衰、いや、人に歴史ありということか。ひつじに必要だったのは、真夜中に教えてくれる教師だったのだろうと思った。,,,,,
110,星見心の声,まあ、さすがに、望めるものじゃないが。,,,,,
110,星見,「こんな時間じゃ、家庭教師ですら嫌がるでしょうしね」,,,,,
111,暮六,「いっそ、教師もノスフェラトゥ病になれば夜に授業してくれそうなんですが」,,一枚絵７（２）,,,
111,星見,「生徒が足りないでしょ」,,,,,
112,暮六,「じゃあ、学校でノスフェラトゥ病が大流行するっていうのはどうですか？」,,一枚絵７（１）,,,
112,星見,「移る病気じゃないでしょうが」,,,,,
112,暮六,「そこは移るようになっちゃった感じで」,,,,,
112,星見,「自分の都合で学校に崩壊をもたらすな」,,,,,
113,星見,「それより、１問目の計算間違ってるから残り全部間違ってるわよ」,,一枚絵７（２）,,,
113,暮六,「えっ！？」,,,,,
114,暮六,「もっと早く教えてくださいよう！」,,,,,
114,星見,「自分を疑うのも勉強のうちよ」,,,,,
114,暮六,「うがー！」,,,,,
114,星見,「ははは」,,,,,
115,星見心の声,何気なく語ったが、ひつじにとってそれは何度も想像した『平等な社会』なのではないだろうか。,,,,,
116,星見心の声,社会は不平等だと<r=いきどお>憤</r>る者はいる。,,,,,
116,星見心の声,己の不遇を社会のせいにして、「もっと俺をチヤホヤしろ」と怒る人たちだ。,,,,,
117,星見心の声,彼らの主張が真に妥当なのかはさておき、ひつじはそういった不平不満を漏らしはしない。,,,,,
118,星見心の声,ハンディキャップに苦しんでいるであろう彼女があえて共感を求めようとしないのならば、私はその意志を尊重したい。,,,,,
119,星見,「そこも問１で間違ってるから、後全部間違いよ」,,,,,
119,暮六,「だから、なんでもっと早く教えてくれないんですかぁ！？」,,,,,
120,星見,「そこは今気付いたのよ」,,,,,
120,暮六,「絶対嘘だぁー！」,,,,,
120,星見心の声,この気高い<r=よるのきぞく>ノスフェラトゥ</r>に心からの称賛を。,,,,,
62,―,FADEOUT,なし,カット,,stop,SLOW
63,―,WAIT,,,,,1
124,兄貴,「よう。待たせたか？」,,,,,
124,？？,「待ったわよ。１５分も遅いじゃない」,,,,,
124,兄貴,「たかが１５分じゃねえか。固いことは言うなよ」,,,,,
125,？？,「たかが１５分？　私が何のためにこんなことをしてるかわかってるの？　時間が欲しくてしてるのに、時間を無駄にされたらたまったものじゃないわ！」,,,,,
125,兄貴,「あー、悪かった悪かった」,,,,,
125,？？,「まったく！　これだから頭の悪い人は！」,,,,,
125,兄貴,「へいへい」,,,,,
126,？？,「……それで、薬は？」,,,,,
126,兄貴,「ちゃんと持ってきたぞ。ほら、確認しろ」,,,,,
127,兄貴,「眠気が飛ぶやつ１００錠だ」,,,,,
63,―,WAIT,,,,,0.5
63,―,FADEIN,,背景３,,,0
131,暮六,「星見さん星見さん、やりましたよ！」,立ち絵４（パジャマ）,,,HIRAHIRA,
131,星見,「んー？　どうしたのよ？」,,,,,
132,暮六,「小テストで初めて満点取れたんです！」,立ち絵19（パジャマ）,,,,
132,星見,「ひつじ……カンニングはダメだってあれほど言ったのに……」,,,,,
132,暮六,「言ってないですよね！？　違う。カンニングしてないですからね！？」,,,,,
133,星見,「冗談よ。おめでとう。簡単なテストだったけれども大きな一歩ね」,立ち絵20（パジャマ）,,,,
133,暮六,「はいっ！　星見さんのおかげです！」,,,,,
134,星見心の声,教えを<r=こ>請</r>われて早二ヵ月。夜の勉強会は成果を上げ始めた。,,,,,
135,星見心の声,遅い歩みではあったが、ひつじは腐らなかった。,,,,,
135,星見心の声,今の授業と並行して中学時代まで遡って学び直し、ついに実感できる成果を手にしたのだ。,,,,,
136,暮六,「テストを返却された瞬間、星見さんと同じ高みから愚民どもを見下ろしていると気付いて、もうたまらなかったですよ」,立ち絵４（パジャマ）,,,,
136,星見,「いや、あれは勘違いでもなければほぼ全員が満点取るテストなんだけど？」,,,,,
136,暮六,「見下ろす側に立ったことには違いないので！」,,,,,
136,星見,「いいのかそれで」,,,,,
137,暮六,「でも、あれですね。返却されたテストを直行でゴミ箱にインしちゃう人がいることには驚きました」,立ち絵１（パジャマ）,,,stop,
137,星見,「あー、進藤さんね」,,,,,
138,星見,「彼女、いっつもそうよ。小テストはもらったそばから捨ててっちゃうの」,,,,,
139,暮六,「もしや、進藤さんはあたしの仲間……！」,立ち絵３（パジャマ）,,,,
139,星見,「彼女、勉強できるわよ」,,,,,
139,暮六,「あうっ！」,,,,,
139,星見,「具体的には、成績表に私の次に名前が載るわね」,,,,,
139,暮六,「めちゃめちゃできるじゃないですか！？」,,,,,
140,星見,「まあ、正直ちょっと苦手なのよね」,立ち絵１（パジャマ）,,,,
140,暮六,「苦手？」,,,,,
140,星見,「成績が発表されるたびに<r=にら>睨</r>まれてる気がするのよ」,,,,,
141,星見,「自意識過剰……だと思いたいんだけど、実際に私は彼女の目の上のたんこぶしてるわけだし。かといって確かめるのも……」,立ち絵２（パジャマ）,,,,
141,暮六,「『成績発表されたら<r=にら>睨</r>んでますか？』なんて聞けないですもんね」,,,,,
141,星見,「そういうこと」,,,,,
142,暮六,「ピンチの時はあたしを呼んでください。あたしは星見さんの味方です！」,立ち絵20（パジャマ）,,,,
142,星見,「いや、別に何かされたわけじゃないから」,なし,,,,
143,暮六,「よーし、今夜も勉強がんばりますよー」,,,,,
144,星見心の声,やったことの結果が出てくると楽しくなるものだ。,,一枚絵７（３）,,HIRAHIRA,
144,星見心の声,私が１０も２０も言葉を重ねるよりも、テストに書かれたたった２、３文字の点数の方がやる気を出させられる。,,,,,
144,星見心の声,ちょっと不満だけど。,,,,,
145,星見心の声,もう少しマシな環境があったならば、こうなるまでも早かったと思うのだが……。,,,,,
146,暮六,「ここで、えぐりこむようにして三角関数を……なるほど」,,一枚絵７（２）,,,
146,星見,「ひつじってさ」,,,,,
146,暮六,「はい？」,,,,,
147,星見,「定時制高校行くとか中卒で働くとか考えなかったの？」,,,,,
147,暮六,「あー、考えはしましたけれど、定時制高校って、そんなに真夜中まではやってないんです」,,,,,
147,星見,「そうなの？」,,,,,
147,暮六,「はい。２１時台には終わっちゃうようで」,,,,,
147,星見,「へえ、知らなかった」,,,,,
148,暮六,「あと、中卒で働くという考えもなかったですね。それだと夢が叶えられないので」,,一枚絵７（１）,,,
148,星見,「夢？」,,,,,
148,暮六,「はい」,,,,,
149,暮六,「あたし、お医者さんになりたいんです」,,一枚絵７（３）,,,
149,星見,「ほう。そりゃまた、大した夢ね」,,,,,
150,暮六,「<r=このびょうき>ノスフェラトゥ病</r>にかかって、昼起きてられないつらさを嫌というほど味わいましたので、普通に高卒して医学部行くぞ、って高校入ったんですが……」,,,,,
150,星見,「居眠り居眠り雨居眠りで、医学部どころか進級すら怪しくなった、と」,,,,,
150,暮六,「その通りです……」,,,,,
151,暮六,「その点、星見さんは良いですよね。全国模試二桁って……それもう、<Link="※２０２５年の東京大学理科三類合格者は９８人。"><color=#007BFF>東大医学部</color></Link>だろうと行けるじゃないですか」,,,,,
151,星見,「フフン、まーね。凄いでしょ？」,,,,,
151,暮六,「凄いです。心底凄いです」,,,,,
151,星見,「フフフ……もっと褒めなさい」,,,,,
152,星見,「模試の順位ばっかり見てるようだけど、私は英検も１級持ってるのよ」,,,,,
152,暮六,「英検１級！？　え、英語ペラペラリーヌ？」,,,,,
152,星見,「他にもフランス語とドイツ語も片言レベルでなら話せるわ。どう、凄い？」,,,,,
152,暮六,「凄いです！　海外だって行き放題じゃないですか！」,,,,,
152,星見,「フッフーン！　そうよ！　そうなのよ！」,,,,,
153,星見,「これはまだナイショにしてることだけど……<Link="※国際数学オリンピックのこと。参加条件は２０歳未満で高校生以下で、１国につき代表は６名まで。"><color=#007BFF>数学オリンピック</color></link>もいいなぁって思ってるのよね。高校生ならではの挑戦って感じでしょ？」,,,,,
153,暮六,「おおーおおーおおーーーーー！　よくわかんないけど凄いやつですよね、凄い！」,,,,,
153,星見,「ひつじの認識がふわっふわだけど、そうよ！　凄いのよ！」,,,,,
153,暮六,「星見さん、かっくいー！」,,,,,
153,星見,「おーほほほ！　褒めなさい、もっと褒めなさい！」,,,,,
153,暮六,「それで、星見さんは――」,,,,,
154,暮六,「――星見さんは、何になりたいんですか？」,,,,stop,
155,星見,「えっ……？」,,一枚絵７（１）,,,
156,暮六,「星見さんは、頑張ってたくさん勉強して、行きたいところに行けるようになったんですよね？　じゃあ――」,,,,,
157,暮六,「――どこに行きたくて勉強しているんですか？」,,,,,
158,星見心の声,私は天才である。,,,,,
159,星見心の声,学校では怠惰にしているのに、さらっと好成績を獲る。,,,,,
159,星見心の声,格好良い天才。崇められる対象。羨望の的。それが星見ソラ。,,,,,
159,星見心の声,私は、自分をそう定義したのである。,,,,,
160,星見心の声,そうとしか、定義していなかったのだ。,,,,,
62,―,FADEOUT,なし,カット,,stop,SLOW
63,―,WAIT,,,,,1
164,兄貴,「よう。待たせたか？」,,,,,
164,？？,「待ったわよ。学習しないわね、あんた」,,,,,
164,兄貴,「悪い悪い。忙しくってな」,,,,,
165,兄貴,「ほら、俺らの傘下で女に乱暴してえやつらが不満を漏らしてて――」,,,,,
165,？？,「そんなどうでもいいバカの話を私が聞きたいと思う？」,,,,,
166,兄貴,「……オーケー、仕事の話をしよう。いつもの１００錠でいいんだな？」,,,,,
166,？？,「ええ。早く出しなさい」,,,,,
