レス,名前,セリフ,立ち絵,背景,SE,BGM、BGS,備考
25,星野,「えっ？」,,,,,
26,星野,「テレビで流行りだ流行りだってうるさいから気の迷いで作っちゃったけど、私にあげたい相手なんていないし」,,,,,
26,進藤,「あんた、アホなの？」,,,,,
26,星野,「えっ？　なんで急に冷たくなったの？」,,,,,
26,進藤,「さっきから優しくなんてしてないわよ！」,,,,,
27,進藤,「どーーーーーーーしてもわかんないっていうんなら、もらってやってもいいけど」,,,,,
27,星野,「え、本当？」,,,,,
27,進藤,「でも、」,,,,,
28,進藤,「誰でもいいってんなら、私じゃなくてあの怪力女に食わせてもいいじゃないの」,,,,,
29,星野,「……」,,,,,
30,星野,「それは……その、」,,,,,
31,星野,「き、気恥ずかしいし……」,,,照れ,,
31,進藤,「痴話話を持ち込むな。出てけ」,,,,,
32,星野,「あっ！　ちょっ！　本気で追い出そうとしてない！？　ちょっと待って！　待ってよ！　待ってってば！」,,,,,
33,進藤,「るっさいわね！　あんたと違って私は合格ラインギリギリなのよ！　痴話話で勉強時間潰すなら出ていきなさいよ！」,,,,,
33,星野,「え？　この時期になってもまだ覚えることあるの？」,,,,,
34,―,FADEOUT,,,殴り,,FAST
34,―,WAIT,,,,,2
34,―,WAIT,,駅の改札,,町中の喧騒_大,1
34,―,FADEIN,,,,,0
35,星野,「いったぁ……。ぶたなくったっていいじゃないのよ……」,,,,,
36,星野,「追い出されたせいで早く着きすぎちゃったなぁ……」,,,,,
36,星野心の声,時間を確認すれば、予定より１時間も早い。,,,,,
36,星野心の声,さて、どうやって時間を潰したものか。,,,,,
37,星野,「ん？　何かしら？」,,,,,
37,星野心の声,待ち合わせ場所に小さな人だかりがあった。,,,,,
37,星野心の声,はて、イベントでもあっただろうか？,,,,,
38,暮六,「スヤーーーーーー」,,,,,
38,星野心の声,覗き込むとアホがスヤスヤしてた。,,,,,
39,暮六,「うーん、むにゃむにゃ。あと５０分……」,立ち絵22,,,HIRAHIRA,
39,星野,「長いわ！」,,,,,
40,暮六,「ふわぁああ……あれ？　星野さん？」,,,,,
40,星野,「何よ？」,,,,,
40,暮六,「まだ時間じゃないですよね？」,,,,,
40,星野,「まあ、そうね」,,,,,
41,暮六,「じゃあ、もう一眠りしますねー」,立ち絵23,,,,
41,星野,「寝るなとは言わんが、せめて場所を選べ」,,,ツッコミ,,
41,暮六,「え？　待ち合わせ場所ってここですよね？」,立ち絵12,,,,
41,星野,「それでも乙女か貴様」,,,,,
42,暮六,「失敬な。あたしはこれでも立派な乙女のつもりですよ」,立ち絵19,,,,
42,星野,「どの辺が乙女してるか言ってみなさいよ？」,,,,,
42,暮六,「駅前は人通りが多いので安全に眠れます！」,立ち絵24,,,,
42,星野,「まず、乙女が人前で寝るな」,,,,,
43,星野心の声,暮六がノスフェラトゥ病で日中眠たいことは知っていたが、普段から表で寝ているなら問題だ。,,,,,
43,星野,\n「とにかく、今後はあまり表で寝ないようになさいな」,,,,,
43,暮六,「むっ。あたしだって普段から表でグースカ寝てるわけじゃないですからね？」,立ち絵19,,むっ,,
43,星野,「そうなの？」,,,,,
43,暮六,「もちろんですよ！　乙女なので！」,立ち絵24,,,,
43,星野,「暮六の乙女はわりと怪しいんだけど」,,,,,
43,星野心の声,花も恥じらえ。,,,,,
44,星野,「でも、それならなんだってあんなところで寝てたのよ？」,,,,,
44,暮六,「え？　星野さんと遊びに行くのに間違っても遅刻したら嫌だったからですけど？」,立ち絵1,,,,
45,星野,「おふっ……！」,,,,,
45,星野心の声,変な声出たぞ。,,,,,
46,星野,「あんたねぇ……。そういうことは相手を選んで言いなさいよ」,,,,,
46,暮六,「むむっ。選んで言ってますぅー！」,立ち絵19,,むむっ,,
46,星野,「はいはい。喫茶店でも行くわよ」,,,,,
46,暮六,「あ。星野さん、待ってー」,立ち絵3,,,,
1,―,FADEOUT,カット,,,stop,SLOW
2,―,WAIT,,,拍手,,1
47,―,FADEIN,,カフェテリア,,,0
48,星野,「で、暮六。なんだったっけ？」,,,,カフェオレオレオ,
48,暮六,「何がですか？」,立ち絵12,,,,
48,星野,「今日の映画のタイトル」,,,,,
48,暮六,「『月夜に愛を』ですね」,立ち絵1,,喜び,,
48,星野,「ああ、そんなタイトルだった。面白いの？」,,,,,
1,,SMALL,,,,
49,暮六,「前評判は良いですね。監督はホラーの天才で知られるスティブーン・ロビンソン氏ですし、先行上映会で『新しい挑戦が多くの観客に受け入れられると確信している』というコメントもありました。『金切り声の里』『忘れられた男』『失われた代償』いずれもスティブーン監督が自信をのぞかせた時の作品です。面白いと断言して構わないかと」,立ち絵10,,,,
1,,NORMAL,,,,
49,星野,「予想の１０倍濃い回答が返ってきたんだけど」,,,,,
50,星野,「え？　何、暮六ってその監督の映画好きなの？」,,,,,
50,暮六,「好き？　スティブーン監督は他に並ぶ者のない最高の映画監督ですよ？　好きと思うどころか住まう次元を同じくすることすらおこがましい……！」,立ち絵6,,ガタッ,,
50,星野,「ヒエッ」,,,,,
51,暮六,「授業中寝すぎて脳細胞がふやけてるともっぱらの噂のあたしですが！」,,,,,
51,星野,「そんな噂でいいのか」,,,,,
51,暮六,「あたしですが、ことスティブーン監督作品に関しては朝まで語れる自信がありますね！」,,,,,
51,星野,「へー、そりゃ凄い」,,,,,
51,星野,「あれ？　反応悪い」,,,,,
52,暮六,「もしや、星野さんはあまり映画が好きではないのですか？」,,,,,
52,星野,「いや、映画がっていうか……私は趣味自体がなくってさ」,,,,,
53,暮六,「パソコンでエフ……エフ……エフ……ゲームしてませんでしたか？」,立ち絵17,,,,
53,星野,「ＦＰＳね。銃で打ち合いするゲーム。まあ、するけどたまーにって感じよ」,,,,,
53,暮六,「だから、枕投げうまかったんですね！」,立ち絵12,,,,
53,星野,「多分関係ない」,,,,,
54,暮六,「あと、ほら、英語とか……英語とか……英語とか……言語いろいろ覚えてますよね？」,立ち絵17,,,,
54,星野,「せめて、２種類くらいは覚えてて」,,,,,
54,暮六,「世界にある言語って日本語と英語の他に何がありましたっけ？」,,,,,
54,星野心の声,この問題は根が深かった,,,,,
55,星野,「まあ、検定や資格の類を取るのは好きね」,,,,,
55,暮六,「それが趣味では？」,,,,,
55,星野,「暮六に会ってからはひとつも取ってないから違うでしょ」,,,,,
55,暮六,「あらま」,,,,,
56,星野,「運動も嫌いじゃないけどのめり込むほどじゃないし……それとも、趣味ってそんなもん？」,,,,,
56,暮六,「スティブーン監督の映画がなくなったら死にます」,,,ガタッ,,
56,星野,「ヒエッ」,,,,,
57,星野,「じゃあ、やっぱり私は趣味ないんでしょ」,,,,,
57,暮六,「では、スティブーン映画の沼にハマりましょう」,,,ガタッ,,
57,星野,「そろそろその顔やめて」,,,,,
58,星野心の声,好きなものがあって臆面もなくそれを「好き」と言える暮六を、私は少し羨ましいと感じた。,,,,,
1,―,FADEOUT,,,,,
2,―,WAIT,,,,,0.5
3,―,FADEIN,,映画館,,,0.5
60,暮六,「星野さん星野さん。今のライターのフタを鳴らすのがスティブーン監督独特の伏線表現です！　もう格好良くて大好きです！　絶対面白いことになるから覚えておいた方がいいですよ！」,,,,,
60,星野,「暮六、声大きい」,,,,,
60,暮六,「あ、すみません」,,,,,
61,暮六,「星野さん星野さん、今の高速パンがスティブーン監督の『スティブーン回し』ですよ！　一瞬の絵の中に登場人物全員の表情を収めることで場の雰囲気を素早く表現してるんです！　私、大好きなんですよ！」,,,,,
61,星野,「暮六、声が大きい」,,,,,
61,暮六,「あ、すみません」,,,,,
62,暮六,「星野さん星野さん、今の背景に映った土偶がスティブーン監督の遊び心で――」,,,,,
62,星野,「黙　っ　て　見　て　な　さ　い」,,,,,SLOW
62,暮六,「ハイ」,,,,,
63,星野心の声,好きなものがあって臆面もなくそれを「好き」と言える暮六を、私は少しめんどくせえなコイツと感じた。,,,,,
1,―,FADEOUT,,,,VOLUME,0.5
2,―,WAIT,,,拍手,,1
3,―,FADEIN,,,,,0
65,星野心の声,銀幕は拍手に包まれた。,,,,nc2422_オルゴールBGM,
66,星野心の声,良い映画だったのだろう。観客には涙ぐむ人さえ居た。,,,,,
67,星野心の声,きっと暮六も満足したに違いない。,,,,,
68,星野心の声,現代を生きる吸血鬼の物語だった。,,,,,
69,星野心の声,人の血を吸わないことを誓った吸血鬼の男がひとけのない小さな町でとある平凡な少女と出会う。 ,,,,,
69,星野心の声,少女は非日常に憧れ、自らも吸血鬼になるべく男に血を吸うよう迫る。,,,,,
69,星野心の声,男はそんな少女をいなしながら日々を過ごす。,,,,,
70,星野心の声,刺激のない隠居生活に飽いていた男は次第に少女に惹かれ、少女もまた男の真摯さに惹かれていく。,,,,,
70,星野心の声,そうして、男が少女と近づいてしまったがために、男は吸血鬼ハンターに見つかってしまう。,,,,,
70,星野心の声,ハンターは少女を人質に取り、男に死を迫る。,,,,,
70,星野心の声,少女は最初に男に近づいた目的は吸血鬼となって罹っている死病から逃れるためであったと告白する。,,,,,
70,星野心の声,「だから、逃げてほしい」と願う少女に、「ならば、助けたい」と男は抗った。,,,,,
70,星野心の声,最終的に、男は吸血鬼にしないよう少女から間接的に吸血して力を得てハンターを撃退する。,,,,,
70,星野心の声,少女の死病を取り除き、そして、,,,,,
71,―,,,,,,星野の後ろ姿
72,星野心の声,『月夜に愛を』,,,,,
72,星野心の声,ああ、ぴったりなタイトルだ。,,,,,
73,星野心の声,吸血鬼の男が少女から自らの思い出を消して去っていったのが、至極印象的であった。,,,,,
74,星野心の声,人間が吸血鬼になれない。そんな物語だった。,,,,,
75,星野心の声,<r=ワタシ>人間</r>は<r=ノスフェラトゥ>吸血鬼</r>になれないのだろうか。,,,,,ルビ：人間「ワタシ」 吸血鬼 「ノスフェラトゥ」
75,星野心の声,なっては、いけないのだろうか。,,,,,
1,―,FADEOUT,,,,stop,
2,―,WAIT,,,,VOLUME,1
3,―,FADEIN,,,,,0
76,―,WAIT,,夜の駅前,,町中の喧騒_大,1
77,星野,「良い映画だったわ。暮六が推すだけのことはあるわね」,,,,木漏れ日,
77,暮六,「んー……そうですね」,,,,,
78,星野,「何よ、気のない返事ね。つまらなかったの？」,,,,,
78,暮六,「あ、いえ。良い作品だとは思いましたよ。お客さんみんな喜んでましたし。これぞスティブーン監督だ！　って名シーンもたくさんありました」,,,,,
79,暮六,\n「ただ……」,,,,FADEOUT,
80,暮六,「あたしはヒロイン連れ去ってほしかったので、そこだけちょーーーーーーーーーっと引っかかってます」,,,,,
81,暮六,「<r=ファン>信者</r>としてはスティブーン監督の出されたものをそのまま楽しむべきと思うのですが、ここだけどうにも納得できなくて……,,,,,ルビ：信者「ファン」
81,暮六,葛藤が凄いです」,,,,,
82,星野心の声,なんと言ったものか。,,,,,
83,星野,「今変な顔してるから、ぜっっったいこっち見んな。見たらコロス」,,,,,
83,暮六,「なぜ突然変顔を！？」,,,,,
83,星野心の声,本当に、なんと言ったものか。,,,,,
84,星野,「……暮六ってチョコ好き？」,,,,,
84,暮六,「え？　大好きですけど？」,,,,,
85,星野,「そう」,,,,,
86,―,,,,,,チョコ手渡す
86,星野心の声,私の帰りの荷物は、どうやら軽くなりそうだ。,,,,,
87,―,DISPLAYTITLE,,,,,END
,,タイトル画面へ,,,,,（タイトル画面はBGM雲の隙間ででお願いします）
